version,version_prefix,version_suffix,architecture,url
3.5.0b2,3.5.0,b2,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0b2-embed-amd64.zip
3.5.0b2,3.5.0,b2,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0b2-embed-win32.zip
3.5.0b3,3.5.0,b3,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0b3-embed-amd64.zip
3.5.0b3,3.5.0,b3,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0b3-embed-win32.zip
3.5.0b4,3.5.0,b4,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0b4-embed-amd64.zip
3.5.0b4,3.5.0,b4,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0b4-embed-win32.zip
3.5.0rc1,3.5.0,rc1,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc1-embed-amd64.zip
3.5.0rc1,3.5.0,rc1,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc1-embed-win32.zip
3.5.0rc2,3.5.0,rc2,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc2-embed-amd64.zip
3.5.0rc2,3.5.0,rc2,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc2-embed-win32.zip
3.5.0rc3,3.5.0,rc3,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc3-embed-amd64.zip
3.5.0rc3,3.5.0,rc3,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc3-embed-win32.zip
3.5.0rc4,3.5.0,rc4,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc4-embed-amd64.zip
3.5.0rc4,3.5.0,rc4,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0rc4-embed-win32.zip
3.5.0,3.5.0,,amd64,https://www.python.org/ftp/python/3.5.0/python-3.5.0-embed-amd64.zip
3.5.0,3.5.0,,win32,https://www.python.org/ftp/python/3.5.0/python-3.5.0-embed-win32.zip
3.5.1rc1,3.5.1,rc1,amd64,https://www.python.org/ftp/python/3.5.1/python-3.5.1rc1-embed-amd64.zip
3.5.1rc1,3.5.1,rc1,win32,https://www.python.org/ftp/python/3.5.1/python-3.5.1rc1-embed-win32.zip
3.5.1,3.5.1,,amd64,https://www.python.org/ftp/python/3.5.1/python-3.5.1-embed-amd64.zip
3.5.1,3.5.1,,win32,https://www.python.org/ftp/python/3.5.1/python-3.5.1-embed-win32.zip
3.5.2rc1,3.5.2,rc1,amd64,https://www.python.org/ftp/python/3.5.2/python-3.5.2rc1-embed-amd64.zip
3.5.2rc1,3.5.2,rc1,win32,https://www.python.org/ftp/python/3.5.2/python-3.5.2rc1-embed-win32.zip
3.5.2,3.5.2,,amd64,https://www.python.org/ftp/python/3.5.2/python-3.5.2-embed-amd64.zip
3.5.2,3.5.2,,win32,https://www.python.org/ftp/python/3.5.2/python-3.5.2-embed-win32.zip
3.5.3rc1,3.5.3,rc1,amd64,https://www.python.org/ftp/python/3.5.3/python-3.5.3rc1-embed-amd64.zip
3.5.3rc1,3.5.3,rc1,win32,https://www.python.org/ftp/python/3.5.3/python-3.5.3rc1-embed-win32.zip
3.5.3,3.5.3,,amd64,https://www.python.org/ftp/python/3.5.3/python-3.5.3-embed-amd64.zip
3.5.3,3.5.3,,win32,https://www.python.org/ftp/python/3.5.3/python-3.5.3-embed-win32.zip
3.5.4rc1,3.5.4,rc1,amd64,https://www.python.org/ftp/python/3.5.4/python-3.5.4rc1-embed-amd64.zip
3.5.4rc1,3.5.4,rc1,win32,https://www.python.org/ftp/python/3.5.4/python-3.5.4rc1-embed-win32.zip
3.5.4,3.5.4,,amd64,https://www.python.org/ftp/python/3.5.4/python-3.5.4-embed-amd64.zip
3.5.4,3.5.4,,win32,https://www.python.org/ftp/python/3.5.4/python-3.5.4-embed-win32.zip
3.6.0a1,3.6.0,a1,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0a1-embed-amd64.zip
3.6.0a1,3.6.0,a1,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0a1-embed-win32.zip
3.6.0a2,3.6.0,a2,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0a2-embed-amd64.zip
3.6.0a2,3.6.0,a2,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0a2-embed-win32.zip
3.6.0a3,3.6.0,a3,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0a3-embed-amd64.zip
3.6.0a3,3.6.0,a3,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0a3-embed-win32.zip
3.6.0a4,3.6.0,a4,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0a4-embed-amd64.zip
3.6.0a4,3.6.0,a4,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0a4-embed-win32.zip
3.6.0b1,3.6.0,b1,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0b1-embed-amd64.zip
3.6.0b1,3.6.0,b1,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0b1-embed-win32.zip
3.6.0b2,3.6.0,b2,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0b2-embed-amd64.zip
3.6.0b2,3.6.0,b2,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0b2-embed-win32.zip
3.6.0b3,3.6.0,b3,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0b3-embed-amd64.zip
3.6.0b3,3.6.0,b3,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0b3-embed-win32.zip
3.6.0b4,3.6.0,b4,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0b4-embed-amd64.zip
3.6.0b4,3.6.0,b4,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0b4-embed-win32.zip
3.6.0rc1,3.6.0,rc1,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0rc1-embed-amd64.zip
3.6.0rc1,3.6.0,rc1,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0rc1-embed-win32.zip
3.6.0rc2,3.6.0,rc2,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0rc2-embed-amd64.zip
3.6.0rc2,3.6.0,rc2,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0rc2-embed-win32.zip
3.6.0,3.6.0,,amd64,https://www.python.org/ftp/python/3.6.0/python-3.6.0-embed-amd64.zip
3.6.0,3.6.0,,win32,https://www.python.org/ftp/python/3.6.0/python-3.6.0-embed-win32.zip
3.6.1rc1,3.6.1,rc1,amd64,https://www.python.org/ftp/python/3.6.1/python-3.6.1rc1-embed-amd64.zip
3.6.1rc1,3.6.1,rc1,win32,https://www.python.org/ftp/python/3.6.1/python-3.6.1rc1-embed-win32.zip
3.6.1,3.6.1,,amd64,https://www.python.org/ftp/python/3.6.1/python-3.6.1-embed-amd64.zip
3.6.1,3.6.1,,win32,https://www.python.org/ftp/python/3.6.1/python-3.6.1-embed-win32.zip
3.6.2rc1,3.6.2,rc1,amd64,https://www.python.org/ftp/python/3.6.2/python-3.6.2rc1-embed-amd64.zip
3.6.2rc1,3.6.2,rc1,win32,https://www.python.org/ftp/python/3.6.2/python-3.6.2rc1-embed-win32.zip
3.6.2rc2,3.6.2,rc2,amd64,https://www.python.org/ftp/python/3.6.2/python-3.6.2rc2-embed-amd64.zip
3.6.2rc2,3.6.2,rc2,win32,https://www.python.org/ftp/python/3.6.2/python-3.6.2rc2-embed-win32.zip
3.6.2,3.6.2,,amd64,https://www.python.org/ftp/python/3.6.2/python-3.6.2-embed-amd64.zip
3.6.2,3.6.2,,win32,https://www.python.org/ftp/python/3.6.2/python-3.6.2-embed-win32.zip
3.6.3rc1,3.6.3,rc1,amd64,https://www.python.org/ftp/python/3.6.3/python-3.6.3rc1-embed-amd64.zip
3.6.3rc1,3.6.3,rc1,win32,https://www.python.org/ftp/python/3.6.3/python-3.6.3rc1-embed-win32.zip
3.6.3,3.6.3,,amd64,https://www.python.org/ftp/python/3.6.3/python-3.6.3-embed-amd64.zip
3.6.3,3.6.3,,win32,https://www.python.org/ftp/python/3.6.3/python-3.6.3-embed-win32.zip
3.6.4rc1,3.6.4,rc1,amd64,https://www.python.org/ftp/python/3.6.4/python-3.6.4rc1-embed-amd64.zip
3.6.4rc1,3.6.4,rc1,win32,https://www.python.org/ftp/python/3.6.4/python-3.6.4rc1-embed-win32.zip
3.6.4,3.6.4,,amd64,https://www.python.org/ftp/python/3.6.4/python-3.6.4-embed-amd64.zip
3.6.4,3.6.4,,win32,https://www.python.org/ftp/python/3.6.4/python-3.6.4-embed-win32.zip
3.6.5rc1,3.6.5,rc1,amd64,https://www.python.org/ftp/python/3.6.5/python-3.6.5rc1-embed-amd64.zip
3.6.5rc1,3.6.5,rc1,win32,https://www.python.org/ftp/python/3.6.5/python-3.6.5rc1-embed-win32.zip
3.6.5,3.6.5,,amd64,https://www.python.org/ftp/python/3.6.5/python-3.6.5-embed-amd64.zip
3.6.5,3.6.5,,win32,https://www.python.org/ftp/python/3.6.5/python-3.6.5-embed-win32.zip
3.6.6rc1,3.6.6,rc1,amd64,https://www.python.org/ftp/python/3.6.6/python-3.6.6rc1-embed-amd64.zip
3.6.6rc1,3.6.6,rc1,win32,https://www.python.org/ftp/python/3.6.6/python-3.6.6rc1-embed-win32.zip
3.6.6,3.6.6,,amd64,https://www.python.org/ftp/python/3.6.6/python-3.6.6-embed-amd64.zip
3.6.6,3.6.6,,win32,https://www.python.org/ftp/python/3.6.6/python-3.6.6-embed-win32.zip
3.6.7rc1,3.6.7,rc1,amd64,https://www.python.org/ftp/python/3.6.7/python-3.6.7rc1-embed-amd64.zip
3.6.7rc1,3.6.7,rc1,win32,https://www.python.org/ftp/python/3.6.7/python-3.6.7rc1-embed-win32.zip
3.6.7rc2,3.6.7,rc2,amd64,https://www.python.org/ftp/python/3.6.7/python-3.6.7rc2-embed-amd64.zip
3.6.7rc2,3.6.7,rc2,win32,https://www.python.org/ftp/python/3.6.7/python-3.6.7rc2-embed-win32.zip
3.6.7,3.6.7,,amd64,https://www.python.org/ftp/python/3.6.7/python-3.6.7-embed-amd64.zip
3.6.7,3.6.7,,win32,https://www.python.org/ftp/python/3.6.7/python-3.6.7-embed-win32.zip
3.6.8rc1,3.6.8,rc1,amd64,https://www.python.org/ftp/python/3.6.8/python-3.6.8rc1-embed-amd64.zip
3.6.8rc1,3.6.8,rc1,win32,https://www.python.org/ftp/python/3.6.8/python-3.6.8rc1-embed-win32.zip
3.6.8,3.6.8,,amd64,https://www.python.org/ftp/python/3.6.8/python-3.6.8-embed-amd64.zip
3.6.8,3.6.8,,win32,https://www.python.org/ftp/python/3.6.8/python-3.6.8-embed-win32.zip
3.7.0a1,3.7.0,a1,amd64,https://www.python.org/ftp/python/3.7.0/python-3.7.0a1-embed-amd64.zip
3.7.0a1,3.7.0,a1,win32,https://www.python.org/ftp/python/3.7.0/python-3.7.0a1-embed-win32.zip
3.7.0a2,3.7.0,a2,amd64,https://www.python.org/ftp/python/3.7.0/python-3.7.0a2-embed-amd64.zip
3.7.0a2,3.7.0,a2,win32,https://www.python.org/ftp/python/3.7.0/python-3.7.0a2-embed-win32.zip
3.7.0a3,3.7.0,a3,amd64,https://www.python.org/ftp/python/3.7.0/python-3.7.0a3-embed-amd64.zip
3.7.0a3,3.7.0,a3,win32,https://www.python.org/ftp/python/3.7.0/python-3.7.0a3-embed-win32.zip
3.7.0a4,3.7.0,a4,amd64,https://www.python.org/ftp/python/3.7.0/python-3.7.0a4-embed-amd64.zip
3.7.0a4,3.7.0,a4,win32,https://www.python.org/ftp/python/3.7.0/python-3.7.0a4-embed-win32.zip
3.7.0b1,3.7.0,b1,amd64,https://www.python.org/ftp/python/3.7.0/python-3.7.0b1-embed-amd64.zip
3.7.0b1,3.7.0,b1,win32,https://www.python.org/ftp/python/3.7.0/python-3.7.0b1-embed-win32.zip
3.7.0b2,3.7.0,b2,amd64,https://www.python.org/ftp/python/3.7.0/python-3.7.0b2-embed-amd64.zip
3.7.0b2,3.7.0,b2,win32,https://www.python.org/ftp/python/3.7.0/python-3.7.0b2-embed-win32.zip
3.7.0b5,3.7.0,b5,amd64,https://www.python.org/ftp/python/3.7.0/python-3.7.0b5-embed-amd64.zip
3.7.0b5,3.7.0,b5,win32,https://www.python.org/ftp/python/3.7.0/python-3.7.0b5-embed-win32.zip
3.7.0rc1,3.7.0,rc1,amd64,https://www.python.org/ftp/python/3.7.0/python-3.7.0rc1-embed-amd64.zip
3.7.0rc1,3.7.0,rc1,win32,https://www.python.org/ftp/python/3.7.0/python-3.7.0rc1-embed-win32.zip
3.7.0,3.7.0,,amd64,https://www.python.org/ftp/python/3.7.0/python-3.7.0-embed-amd64.zip
3.7.0,3.7.0,,win32,https://www.python.org/ftp/python/3.7.0/python-3.7.0-embed-win32.zip
3.7.1rc1,3.7.1,rc1,amd64,https://www.python.org/ftp/python/3.7.1/python-3.7.1rc1-embed-amd64.zip
3.7.1rc1,3.7.1,rc1,win32,https://www.python.org/ftp/python/3.7.1/python-3.7.1rc1-embed-win32.zip
3.7.1rc2,3.7.1,rc2,amd64,https://www.python.org/ftp/python/3.7.1/python-3.7.1rc2-embed-amd64.zip
3.7.1rc2,3.7.1,rc2,win32,https://www.python.org/ftp/python/3.7.1/python-3.7.1rc2-embed-win32.zip
3.7.1,3.7.1,,amd64,https://www.python.org/ftp/python/3.7.1/python-3.7.1-embed-amd64.zip
3.7.1,3.7.1,,win32,https://www.python.org/ftp/python/3.7.1/python-3.7.1-embed-win32.zip
3.7.2rc1,3.7.2,rc1,amd64,https://www.python.org/ftp/python/3.7.2/python-3.7.2rc1-embed-amd64.zip
3.7.2rc1,3.7.2,rc1,win32,https://www.python.org/ftp/python/3.7.2/python-3.7.2rc1-embed-win32.zip
3.7.2,3.7.2,,amd64,https://www.python.org/ftp/python/3.7.2/python-3.7.2.post1-embed-amd64.zip
3.7.2,3.7.2,,win32,https://www.python.org/ftp/python/3.7.2/python-3.7.2.post1-embed-win32.zip
3.7.3rc1,3.7.3,rc1,amd64,https://www.python.org/ftp/python/3.7.3/python-3.7.3rc1-embed-amd64.zip
3.7.3rc1,3.7.3,rc1,win32,https://www.python.org/ftp/python/3.7.3/python-3.7.3rc1-embed-win32.zip
3.7.3,3.7.3,,amd64,https://www.python.org/ftp/python/3.7.3/python-3.7.3-embed-amd64.zip
3.7.3,3.7.3,,win32,https://www.python.org/ftp/python/3.7.3/python-3.7.3-embed-win32.zip
3.7.4rc1,3.7.4,rc1,amd64,https://www.python.org/ftp/python/3.7.4/python-3.7.4rc1-embed-amd64.zip
3.7.4rc1,3.7.4,rc1,win32,https://www.python.org/ftp/python/3.7.4/python-3.7.4rc1-embed-win32.zip
3.7.4,3.7.4,,amd64,https://www.python.org/ftp/python/3.7.4/python-3.7.4-embed-amd64.zip
3.7.4,3.7.4,,win32,https://www.python.org/ftp/python/3.7.4/python-3.7.4-embed-win32.zip
3.7.5rc1,3.7.5,rc1,amd64,https://www.python.org/ftp/python/3.7.5/python-3.7.5rc1-embed-amd64.zip
3.7.5rc1,3.7.5,rc1,win32,https://www.python.org/ftp/python/3.7.5/python-3.7.5rc1-embed-win32.zip
3.7.5,3.7.5,,amd64,https://www.python.org/ftp/python/3.7.5/python-3.7.5-embed-amd64.zip
3.7.5,3.7.5,,win32,https://www.python.org/ftp/python/3.7.5/python-3.7.5-embed-win32.zip
3.7.6rc1,3.7.6,rc1,amd64,https://www.python.org/ftp/python/3.7.6/python-3.7.6rc1-embed-amd64.zip
3.7.6rc1,3.7.6,rc1,win32,https://www.python.org/ftp/python/3.7.6/python-3.7.6rc1-embed-win32.zip
3.7.6,3.7.6,,amd64,https://www.python.org/ftp/python/3.7.6/python-3.7.6-embed-amd64.zip
3.7.6,3.7.6,,win32,https://www.python.org/ftp/python/3.7.6/python-3.7.6-embed-win32.zip
3.7.7rc1,3.7.7,rc1,amd64,https://www.python.org/ftp/python/3.7.7/python-3.7.7rc1-embed-amd64.zip
3.7.7rc1,3.7.7,rc1,win32,https://www.python.org/ftp/python/3.7.7/python-3.7.7rc1-embed-win32.zip
3.7.7,3.7.7,,amd64,https://www.python.org/ftp/python/3.7.7/python-3.7.7-embed-amd64.zip
3.7.7,3.7.7,,win32,https://www.python.org/ftp/python/3.7.7/python-3.7.7-embed-win32.zip
3.8.0a1,3.8.0,a1,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0a1-embed-amd64.zip
3.8.0a1,3.8.0,a1,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0a1-embed-win32.zip
3.8.0a2,3.8.0,a2,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0a2-embed-amd64.zip
3.8.0a2,3.8.0,a2,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0a2-embed-win32.zip
3.8.0a3,3.8.0,a3,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0a3-embed-amd64.zip
3.8.0a3,3.8.0,a3,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0a3-embed-win32.zip
3.8.0a4,3.8.0,a4,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0a4-embed-amd64.zip
3.8.0a4,3.8.0,a4,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0a4-embed-win32.zip
3.8.0b1,3.8.0,b1,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0b1-embed-amd64.zip
3.8.0b1,3.8.0,b1,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0b1-embed-win32.zip
3.8.0b2,3.8.0,b2,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0b2-embed-amd64.zip
3.8.0b2,3.8.0,b2,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0b2-embed-win32.zip
3.8.0b3,3.8.0,b3,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0b3-embed-amd64.zip
3.8.0b3,3.8.0,b3,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0b3-embed-win32.zip
3.8.0b4,3.8.0,b4,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0b4-embed-amd64.zip
3.8.0b4,3.8.0,b4,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0b4-embed-win32.zip
3.8.0rc1,3.8.0,rc1,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0rc1-embed-amd64.zip
3.8.0rc1,3.8.0,rc1,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0rc1-embed-win32.zip
3.8.0,3.8.0,,amd64,https://www.python.org/ftp/python/3.8.0/python-3.8.0-embed-amd64.zip
3.8.0,3.8.0,,win32,https://www.python.org/ftp/python/3.8.0/python-3.8.0-embed-win32.zip
3.8.1rc1,3.8.1,rc1,amd64,https://www.python.org/ftp/python/3.8.1/python-3.8.1rc1-embed-amd64.zip
3.8.1rc1,3.8.1,rc1,win32,https://www.python.org/ftp/python/3.8.1/python-3.8.1rc1-embed-win32.zip
3.8.1,3.8.1,,amd64,https://www.python.org/ftp/python/3.8.1/python-3.8.1-embed-amd64.zip
3.8.1,3.8.1,,win32,https://www.python.org/ftp/python/3.8.1/python-3.8.1-embed-win32.zip
3.8.2rc1,3.8.2,rc1,amd64,https://www.python.org/ftp/python/3.8.2/python-3.8.2rc1-embed-amd64.zip
3.8.2rc1,3.8.2,rc1,win32,https://www.python.org/ftp/python/3.8.2/python-3.8.2rc1-embed-win32.zip
3.8.2rc2,3.8.2,rc2,amd64,https://www.python.org/ftp/python/3.8.2/python-3.8.2rc2-embed-amd64.zip
3.8.2rc2,3.8.2,rc2,win32,https://www.python.org/ftp/python/3.8.2/python-3.8.2rc2-embed-win32.zip
3.8.2,3.8.2,,amd64,https://www.python.org/ftp/python/3.8.2/python-3.8.2-embed-amd64.zip
3.8.2,3.8.2,,win32,https://www.python.org/ftp/python/3.8.2/python-3.8.2-embed-win32.zip
3.8.3rc1,3.8.3,rc1,amd64,https://www.python.org/ftp/python/3.8.3/python-3.8.3rc1-embed-amd64.zip
3.8.3rc1,3.8.3,rc1,win32,https://www.python.org/ftp/python/3.8.3/python-3.8.3rc1-embed-win32.zip
3.8.3,3.8.3,,amd64,https://www.python.org/ftp/python/3.8.3/python-3.8.3-embed-amd64.zip
3.8.3,3.8.3,,win32,https://www.python.org/ftp/python/3.8.3/python-3.8.3-embed-win32.zip
3.9.0a1,3.9.0,a1,amd64,https://www.python.org/ftp/python/3.9.0/python-3.9.0a1-embed-amd64.zip
3.9.0a1,3.9.0,a1,win32,https://www.python.org/ftp/python/3.9.0/python-3.9.0a1-embed-win32.zip
3.9.0a2,3.9.0,a2,amd64,https://www.python.org/ftp/python/3.9.0/python-3.9.0a2-embed-amd64.zip
3.9.0a2,3.9.0,a2,win32,https://www.python.org/ftp/python/3.9.0/python-3.9.0a2-embed-win32.zip
3.9.0a3,3.9.0,a3,amd64,https://www.python.org/ftp/python/3.9.0/python-3.9.0a3-embed-amd64.zip
3.9.0a3,3.9.0,a3,win32,https://www.python.org/ftp/python/3.9.0/python-3.9.0a3-embed-win32.zip
3.9.0a4,3.9.0,a4,amd64,https://www.python.org/ftp/python/3.9.0/python-3.9.0a4-embed-amd64.zip
3.9.0a4,3.9.0,a4,win32,https://www.python.org/ftp/python/3.9.0/python-3.9.0a4-embed-win32.zip
3.9.0a5,3.9.0,a5,amd64,https://www.python.org/ftp/python/3.9.0/python-3.9.0a5-embed-amd64.zip
3.9.0a5,3.9.0,a5,win32,https://www.python.org/ftp/python/3.9.0/python-3.9.0a5-embed-win32.zip
3.9.0a6,3.9.0,a6,amd64,https://www.python.org/ftp/python/3.9.0/python-3.9.0a6-embed-amd64.zip
3.9.0a6,3.9.0,a6,win32,https://www.python.org/ftp/python/3.9.0/python-3.9.0a6-embed-win32.zip
3.9.0b1,3.9.0,b1,amd64,https://www.python.org/ftp/python/3.9.0/python-3.9.0b1-embed-amd64.zip
3.9.0b1,3.9.0,b1,win32,https://www.python.org/ftp/python/3.9.0/python-3.9.0b1-embed-win32.zip
3.9.0b2,3.9.0,b2,amd64,https://www.python.org/ftp/python/3.9.0/python-3.9.0b2-embed-amd64.zip
3.9.0b2,3.9.0,b2,win32,https://www.python.org/ftp/python/3.9.0/python-3.9.0b2-embed-win32.zip
3.9.0b3,3.9.0,b3,amd64,https://www.python.org/ftp/python/3.9.0/python-3.9.0b3-embed-amd64.zip
3.9.0b3,3.9.0,b3,win32,https://www.python.org/ftp/python/3.9.0/python-3.9.0b3-embed-win32.zip
